category	date	count	neg_count	neu_count	pos_count	neg_score	neu_score	pos_score	wt_neg	wt_neu	wt_pos
Finance	2022-08-02	766	127	303	336	115.40657043457031	196.61162185668945	239.9818115234375	152.47093231475446	293.25111224967986	320.27795770578086
Finance	2022-08-01	427	83	150	194	69.4943618774414	115.73820495605469	174.76742553710938	77.54383794136811	154.30958656780422	195.14657628210261
Finance	2022-08-03	1359	451	497	411	285.69671630859375	395.12969970703125	274.1735610961914	417.5457631254103	535.7360230414197	405.7182118045166
Finance	2022-08-04	1479	361	744	374	234.66654205322266	372.9795455932617	317.3539123535156	471.26365166541655	580.7219893615693	427.0143564660102
Finance	2022-08-05	1183	358	405	420	226.41311645507812	297.2401008605957	229.3467664718628	323.8839552452555	422.7286299103871	436.38740966049954
Finance	2022-08-06	435	132	191	112	98.3044204711914	177.09400939941406	104.60157775878906	118.94384348229505	192.31063977535814	123.74551550857723
Finance	2022-08-07	1908	654	852	402	269.4300756454468	452.6940269470215	333.8759307861328	596.5354038332589	869.4615482995287	442.00305066257715
Finance	2022-08-08	616	139	270	207	98.98058319091797	148.98663330078125	91.03277683258057	131.99068088678177	291.96105028968304	192.0482652564533
Finance	2022-08-09	236	40	114	82	35.007320404052734	80.55453491210938	59.438148498535156	50.755346475634724	113.3544403463602	71.89020955143496
Finance	2022-08-10	5142	3633	662	847	392.3796126842499	541.2221024036407	473.39827686548233	2477.137077386724	1841.867973940447	822.9948926782236
Finance	2022-08-11	958	207	365	386	176.62260246276855	309.7647590637207	260.6126251220703	205.85624722659122	376.11057137604803	376.0331848775968
Finance	2022-08-12	954	243	505	206	147.9136085510254	232.0375518798828	144.04884338378906	301.6408474398777	439.6716999737546	212.68745021801442
Finance	2022-08-13	628	136	307	185	118.65785217285156	215.7627716064453	159.57937240600586	145.1179933825042	275.45581000857055	207.42619893420488
Finance	2022-08-14	3504	419	2410	675	316.691650390625	508.4714813232422	378.8368682861328	631.4807057034923	2175.7507624849677	696.7684337254614
Finance	2022-08-15	846	186	278	382	135.0161075592041	207.15176391601562	180.83210372924805	175.24325354781467	305.1348244557157	365.62190940929577
Finance	2022-08-16	1896	357	1071	468	251.6123809814453	363.39996337890625	288.9876403808594	334.283454268123	937.4761320250109	624.240403517615
Finance	2022-08-17	153	63	50	40	39.99141311645508	49.42493438720703	37.583641052246094	49.85997756756842	59.76963946223259	43.37038303911686
Finance	2022-08-18	599	210	204	185	122.36421394348145	174.6620807647705	135.9737091064453	190.09236667642836	225.55231059528887	183.35532100964338
Finance	2022-08-19	499	161	155	183	109.68809509277344	147.71223068237305	117.59970092773438	143.47090833366383	170.65186674892902	184.87722470005974
Finance	2022-08-20	710	217	263	230	142.55429077148438	234.6002960205078	185.84539794921875	197.32170020637568	289.9147412851453	222.76355817588046
Finance	2022-08-21	1942	636	707	599	436.650634765625	527.3766784667969	414.9727096557617	570.5687913275324	758.8308806968853	612.6003309520893
Finance	2022-08-22	2377	865	845	667	442.8936309814453	645.4727935791016	471.63353729248047	818.6199411430862	859.563858481124	698.8161999131553
Finance	2022-08-23	1026	401	381	244	196.85232543945312	265.8212585449219	193.32643127441406	345.17214249109384	407.8233931520954	273.00445850519463
Finance	2022-08-24	814	256	293	265	175.89202690124512	227.9682846069336	195.13970947265625	237.01213641813956	294.85813611838967	282.1297267032787
Finance	2022-08-25	752	278	290	184	205.0378624200821	238.7207055091858	166.24141263961792	263.8691832298646	291.0784330079332	197.05238131526858
Finance	2022-08-26	511	124	231	156	105.27618408203125	142.2819366455078	79.44184875488281	127.43799857760314	228.962989394553	154.5990103147924
Finance	2022-08-27	7882	642	6729	511	324.3341121673584	411.86206436157227	296.80381774902344	3247.075739365653	4022.508084449917	612.4163186727092
Finance	2022-08-28	1905	368	442	1095	257.95949363708496	345.0670738220215	235.9734125137329	358.83099874155596	765.5262635853142	780.6427419525571
Finance	2022-08-29	4986	443	669	3874	315.36009979248047	485.09496307373047	355.54493713378906	495.7607844443992	2071.516372507438	2418.722805180587
Finance	2022-08-31	1801	639	637	525	384.42694664001465	518.5316548347473	401.04134464263916	595.8630781430984	689.7721600984223	515.3647523582913
Finance	2022-08-30	29	3	8	18	3.0093886852264404	8.858198165893555	13.13241195678711	3.0266428380273283	9.230039121583104	16.743318306282163
Finance	2022-09-01	1470	453	673	344	266.2455139160156	441.9050064086914	299.8494567871094	461.0027123983018	631.6803477732465	377.31693695811555
Finance	2022-09-02	1821	486	712	623	364.3816223144531	543.5945167541504	454.0238723754883	477.31201333156787	703.9378222944215	639.7501620664261
Finance	2022-09-03	10653	575	3659	6419	410.02552032470703	650.0747909545898	535.8997192382812	712.8712038962403	3989.601752417162	5950.526933545712
Finance	2022-09-04	1367	415	559	393	269.86761474609375	421.4226608276367	323.7097396850586	397.58894827915356	543.9968796195462	425.4141748221591
Finance	2022-09-05	1309	381	498	430	268.2284851074219	420.38450622558594	314.38700103759766	363.40762757358607	510.82545616012067	434.76691431505606
Finance	2022-09-06	1843	802	586	455	313.26139068603516	430.2957458496094	331.44285583496094	628.091523006442	704.2510723778978	510.65741440374404
Finance	2022-09-07	917	275	459	183	175.39600372314453	247.08557891845703	165.51837921142578	262.8461191680981	438.9743174267933	215.17956915218383
Finance	2022-09-08	691	213	240	238	161.22844886779785	191.15606307983398	137.6154899597168	198.9480953196762	247.68540393281728	244.36650810623541
Finance	2022-09-09	257	80	127	50	50.302345275878906	82.91143035888672	51.78620910644531	78.63044450501911	115.40643133129925	62.96312607591972
Finance	2022-09-10	2607	472	907	1228	316.9788360595703	533.2202911376953	443.8008575439453	478.9044537919108	896.712203328032	1231.3833462991752
Finance	2022-09-11	1370	361	482	527	291.61335372924805	415.0597114562988	387.32696533203125	346.4662932085339	502.5962113114074	520.9374985145405
Finance	2022-09-12	1898	1091	347	460	203.18998765945435	299.8997368812561	240.91022968292236	801.3005926555488	641.2148455441929	455.48452364094555
Finance	2022-09-13	1136	364	428	344	208.07235717773438	300.22034454345703	231.7072982788086	338.3867533209268	446.6770430272445	350.9362031724304
Finance	2022-09-14	3409	207	284	2918	158.08355140686035	207.33966159820557	251.57677555084229	285.748401124496	1170.9010494556278	1952.3505700505339
Finance	2022-09-15	1710	538	617	555	347.4811019897461	529.3756713867188	436.14324951171875	496.6513747504214	667.253902386874	546.0947264004499
Finance	2022-09-16	1890	382	714	794	309.0334587097168	460.5786323547363	425.38796043395996	397.923104223446	745.9672992238775	746.1095835329033
Finance	2022-09-17	328	68	155	105	59.414485931396484	137.09017944335938	74.49531555175781	64.94283766113222	153.07986032310873	109.97730197291821
Finance	2022-09-18	1609	442	640	527	287.87158203125	431.48665618896484	346.64171981811523	434.8658275497146	621.7188245127909	552.4153489354067
Finance	2022-09-19	3920	1351	691	1878	363.90442752838135	556.1685428619385	598.9270248413086	1158.7565882947529	1186.744510143064	1574.4989328635857
Finance	2022-09-20	650	189	263	198	133.63058185577393	196.28728866577148	167.0821132659912	181.8376221419312	254.5363002885133	213.62607247754931
Finance	2022-09-21	2968	884	1208	876	417.0652446746826	596.1395015716553	439.79527854919434	953.7101224107901	1102.5372883519158	911.7525632455945
Finance	2022-09-22	3372	698	1923	751	463.7087211608887	722.9402198791504	546.3510437011719	961.3805629445706	1435.864987490233	974.754490760155
Finance	2022-09-23	987	228	489	270	159.88707733154297	251.1212921142578	160.99163818359375	230.86065039993264	408.13291695993394	348.00644105812535
Finance	2022-09-24	147	51	61	35	43.29443359375	55.57220458984375	35.13335418701172	47.002956734620966	60.745014739222825	39.25202871998772
Finance	2022-09-25	1439	578	519	342	253.49356842041016	386.9762878417969	296.5302047729492	479.23748980567325	592.4712624261156	367.291259593796
Finance	2022-09-26	1305	265	554	486	217.11242055892944	289.74680519104004	232.1407585144043	276.70839500194415	558.4714066777378	469.82019650936127
Finance	2022-09-27	589	165	225	199	110.88248443603516	193.70562744140625	160.41188049316406	146.3250294108875	234.39549919683486	208.27946848142892
Finance	2022-09-28	196	33	98	65	29.82531428337097	67.69349908828735	51.48117637634277	36.83864028053358	95.47513605933636	63.68622223334387
Finance	2022-09-29	1590	408	647	535	331.41271209716797	444.9580535888672	415.62918853759766	409.20086061535403	627.3598497761413	553.4392921798863
Finance	2022-09-30	1295	424	524	347	263.69740295410156	401.4400939941406	314.8624610900879	399.9163682506187	512.1676520742476	382.9159805485979
Finance	2022-10-01	1029	256	455	318	186.42022609710693	280.30813121795654	257.2716636657715	255.79554446972907	407.4305493859574	365.77390578435734
Finance	2022-10-02	1197	979	130	88	80.646240234375	117.90585327148438	74.44789123535156	592.5913295997307	500.28446136415005	104.12416830519214
Finance	2022-10-03	1217	356	504	357	266.95384216308594	362.1034240722656	256.94274520874023	351.96820346743334	493.104364967905	371.9274246809073
Finance	2022-10-04	496	84	303	109	71.56184566020966	153.46288219094276	82.97527215629816	87.40638630837202	257.8119484856725	150.78166852053255
Finance	2022-10-05	2859	1305	685	869	374.46723794937134	552.6201190948486	617.912670135498	1156.2184879969573	859.7215082421899	843.0599455623887
Finance	2022-10-06	1522	284	431	807	215.66849517822266	278.76358795166016	221.56790924072266	281.87047482677735	451.31975966785103	788.8097613505088
Finance	2022-10-07	3643	882	909	1852	522.010368347168	692.0994338989258	561.8902130126953	778.5745878138114	1086.3045229511335	1778.1208675429225
Finance	2022-10-08	1208	224	824	160	145.19780731201172	195.68641662597656	162.11580657958984	224.02922637853771	622.3635691739619	361.60719849541783
Finance	2022-10-09	2138	561	843	734	441.1481018066406	651.6030731201172	601.248836517334	563.9940228508785	829.7276769196615	744.278303923551
Finance	2022-10-10	2379	575	559	1245	355.093994140625	443.9147262573242	313.9912872314453	557.8355379456189	757.4134251046926	1063.7510243868455
Finance	2022-10-11	3315	942	1487	886	484.6707954406738	711.2098388671875	569.1193504333496	1003.2502115574898	1383.9914241982624	927.7583698886447
Finance	2022-10-12	1065	407	429	229	176.96605682373047	259.46888732910156	193.56504821777344	407.1407399706077	394.07770050270483	263.78155088145286
Finance	2022-10-13	1635	1112	297	226	143.69454956054688	184.57270050048828	146.73274612426758	646.9537296071649	668.9770765705034	319.06918715825304
Finance	2022-10-14	1824	521	654	649	363.17999267578125	503.66758728027344	411.15245056152344	501.60919156007003	672.6850977381691	649.7057070555165
Finance	2022-10-15	66	14	38	14	13.686638250946999	32.4170184135437	15.896351218223572	14.615849013905972	33.282928520813584	18.101223275531083
Finance	2022-10-16	78	33	33	12	22.753053665161133	29.1513671875	13.095585823059082	30.111134870909154	34.47295129112899	13.41591393109411
Finance	2022-10-17	631	253	244	134	125.92568302154541	189.39007759094238	116.68424034118652	235.95572858140804	247.5630236538127	147.48124652309343
Finance	2022-10-18	1547	426	760	361	283.56443786621094	364.30247497558594	270.13307189941406	393.37226486729924	683.1104267593473	470.51732687000185
Finance	2022-10-19	96	29	42	25	22.91158962249756	37.3234806060791	16.764933586120605	28.552620322676376	42.774649262428284	24.67273012548685
Finance	2022-10-20	587	175	262	150	148.09665328264236	174.29199361801147	131.61133790016174	180.8642004954163	233.39953519776464	172.7362631992437
Finance	2022-10-21	1399	366	585	448	316.16114807128906	436.5196228027344	359.3192901611328	376.9261524572503	564.7887963019311	457.2850459218025
Finance	2022-10-23	2069	537	620	912	350.44471549987793	490.58488845825195	570.9703330993652	508.0202894168906	737.2310851439834	823.7486254875548
Finance	2022-10-22	333	111	142	80	76.35733032226562	130.33470153808594	66.30797576904297	103.24246475717518	143.57193646021187	86.18559678737074
Finance	2022-10-24	1292	341	558	393	263.6947441101074	384.4035415649414	359.9017639160156	339.6715142286848	525.406141362153	426.92234658123925
Finance	2022-10-25	1024	257	419	348	202.75084972381592	286.8628387451172	258.3862724304199	260.6618356134277	410.49115201923996	352.8470119945705
Finance	2022-10-26	1670	364	677	629	294.1823196411133	488.01075744628906	405.8069152832031	365.48472815938294	625.3924114918336	679.1228646556847
Finance	2022-10-27	459	109	178	172	94.62442207336426	147.18660736083984	108.18895721435547	114.10115331737325	175.01015479210764	169.88869443535805
Finance	2022-10-29	1063	379	395	289	241.8006664738059	321.98964726924896	236.20967864990234	361.6498780117836	396.4772328976542	304.8728880411945
Finance	2022-10-28	144	46	49	49	36.47153854370117	47.30889892578125	24.219562530517578	40.22884069685824	54.04401026200503	49.72714887978509
Finance	2022-10-30	1872	548	691	633	399.2619857788086	561.0564880371094	445.6815490722656	506.68042066367343	727.8761018803343	637.4434833298437
Finance	2022-10-31	2741	933	1013	795	404.7324028015137	549.5503311157227	443.71728897094727	734.8377652886556	1087.6126243881881	918.549611010123
Finance	2022-11-01	2226	566	1034	626	461.6640090942383	617.6581420898438	492.6778259277344	637.7567076139385	961.0310795363039	627.2121990900487
Finance	2022-11-02	1442	408	629	405	322.4376983642578	432.2234573364258	295.3388862609863	397.26564884150866	627.6549117569812	417.07945039169863
Finance	2022-11-03	186	36	119	31	35.47505283355713	61.589345932006836	32.9356107711792	48.76134278951213	100.35352236032486	36.885138837620616
Finance	2022-11-06	367	128	158	81	86.94000625610352	136.29617309570312	73.76380920410156	120.2049330745358	157.1676856400445	89.62737955059856
Finance	2022-11-05	194	46	88	60	42.28863525390625	85.8795166015625	56.83184051513672	45.74292917479761	88.99589747097343	59.261172047350556
Finance	2022-11-04	76	15	39	22	15.117668151855469	32.511295318603516	15.371042251586914	16.15216905088164	39.96517242304981	19.88265870232135
Finance	2022-11-07	1528	383	577	568	281.0710029602051	449.51434326171875	282.41462326049805	355.09271973150317	642.5395288839936	530.3677523960359
Finance	2022-11-08	1464	481	583	400	288.6257281303406	400.65765380859375	265.71661949157715	463.6735708875349	608.7805504710414	391.5458764168434
Finance	2022-11-09	1468	631	505	332	301.96114587783813	381.90281867980957	257.1360433101654	574.107009815285	551.1124321008101	342.7805637586862
Finance	2022-11-10	2708	543	834	1331	325.88557624816895	452.58811950683594	306.5263023376465	570.2341600877699	1053.1937279757112	1084.572091477923
Finance	2022-11-11	1241	441	456	344	245.58811950683594	322.4553680419922	186.95648956298828	420.7669755142415	479.1703290529549	341.06269932864234
Finance	2022-11-12	1709	831	483	395	342.02831268310547	386.58419036865234	215.38748741149902	660.1804805616848	639.158965934068	409.6605361602269
Finance	2022-11-13	395	167	125	103	88.06036758422852	110.10350227355957	60.83616065979004	154.5749878177885	137.91678767185658	102.50822294317186
Finance	2022-11-15	2523	607	1446	470	344.2204704284668	449.9118995666504	281.8676357269287	579.0978791151429	1250.3821579553187	693.5199223952368
Finance	2022-11-14	426	149	167	110	113.77787780761719	155.85903930664062	86.36307525634766	139.577910932363	166.67153068073094	119.75055920705199
Finance	2022-11-16	371	97	123	151	60.64717650413513	114.28982353210449	75.06298446655273	86.50718290638179	149.9624147079885	134.53040230134502
Finance	2022-11-18	3433	1101	1605	727	572.0292481780052	676.8262456655502	405.14451587200165	1253.905370471999	1413.635942936875	765.4586957506835
Finance	2022-11-17	135	40	74	21	34.34515380859375	55.92356872558594	20.731285095214844	39.987364729633555	68.80754427146167	26.205091402400285
Finance	2022-11-19	869	303	383	183	198.0840129852295	248.40288543701172	161.51306915283203	273.74918027373496	388.4984383219853	206.75237296149135
Finance	2022-11-20	106	24	63	19	23.44246482849121	55.6992301940918	23.858301162719727	24.201772491214797	57.027469519525766	24.770758400671184
Finance	2022-11-21	1680	561	686	433	431.6275591850281	529.6758909225464	329.6965419650078	546.7919148445362	680.5614558747038	452.6466367971152
Finance	2022-11-22	1879	227	1399	253	198.84516143798828	281.1038284301758	167.05101013183594	548.1248730571242	1058.4781361976638	272.39694338757545
Finance	2022-11-23	4281	974	1414	1893	557.1927680969238	836.4082183837891	634.3989944458008	960.2358269427205	1831.6580973449163	1489.106068851892
Finance	2022-11-24	1496	429	594	473	326.9190368652344	479.23804473876953	358.8429260253906	403.52897707698867	608.6040341220796	483.8669825694524
Finance	2022-11-25	1265	351	552	362	249.14384078979492	406.23374938964844	301.6224250793457	338.6971330222441	523.3784509315155	402.9244156135246
Finance	2022-11-27	1561	484	566	511	380.8146171569824	502.75160217285156	408.43383407592773	450.08727605629247	592.4358795844018	518.4768446967937
Finance	2022-11-26	92	21	47	24	18.01083755493164	44.392520904541016	22.596637725830078	20.02330313413404	45.588352831080556	26.388344280421734
Finance	2022-11-28	692	180	310	202	153.93976974487305	272.1308135986328	173.92940521240234	175.91070307604969	302.93002465274185	213.15927521092817
Finance	2022-11-29	1209	319	626	264	273.593692779541	405.32781982421875	248.07850646972656	323.31187824869994	568.5030717737973	317.1850463212468
Finance	2022-11-30	1318	385	448	485	251.67351150512695	360.53216552734375	353.7943458557129	362.3738619061187	496.8283669538796	458.7977708224207
Finance	2022-12-01	269	67	129	73	62.78433609008789	112.10592651367188	58.1097412109375	71.60287205898203	124.08111611381173	73.31601101579145
Finance	2022-12-02	2931	1765	540	626	370.8464698791504	500.1301803588867	370.0233573913574	1601.6027528566774	718.3699375698343	611.0272976919077
Finance	2022-12-04	4604	759	1459	2386	472.4849624633789	610.1235504150391	444.39144134521484	775.7365150323603	1507.4716694829985	2320.791854562238
Finance	2022-12-03	74	25	44	5	20.924522399902344	42.8573112487793	8.218171119689941	22.70866769971326	43.05870947986841	8.232622514013201
Finance	2022-12-05	18678	990	17042	646	471.90543365478516	661.8244552612305	383.2701187133789	1459.258376353304	14779.11638424918	2439.625388050452
Finance	2022-12-06	1123	351	389	383	207.43029022216797	314.0584411621094	199.51124572753906	345.4347134901909	404.0044045187533	373.56087259948254
Finance	2022-12-07	2483	408	539	1536	309.36241722106934	436.5941848754883	312.043399810791	389.9901487318566	717.3384923227131	1375.6714055351913
Finance	2022-12-08	753	231	296	226	159.1534423828125	220.4846954345703	145.36184883117676	222.8147201205138	300.1881420882419	229.99713653931394
Finance	2022-12-09	486	99	227	160	94.10777282714844	161.39988708496094	95.49234771728516	105.23276307247579	212.67648538574576	168.09075219649822
Finance	2022-12-10	2044	155	88	1801	51.12830924987793	88.14726638793945	58.72441482543945	127.29566837439779	482.5420616855845	1434.1622583181597
Finance	2022-12-11	1264	413	528	323	305.94705963134766	379.25793075561523	279.79502868652344	396.68191756214947	507.88968446012586	359.42839820310473
